keyword,score
thanks,0.06420201249675749
reply,0.05473817686326674
video,0.04947262346830659
thank,0.04688512204917358
learning,0.04256488767548273
kylie,0.03866368734373002
course,0.035692667285053985
machine,0.0329438466480415
much,0.030581198169547776
tutorial,0.02779741777191424
best,0.027504716782950255
great,0.0245153918588544
woke,0.021003397257572935
good,0.020557249675872503
like,0.02032744019961976
